,Date,Week,Profit,Profit(W),Profit(L),NumTrade,NumTrade(W),NumTrade(L),WinRate,ProfAve,ProfAve(W),ProfAve(L),Profit(Max),NumTrade(Max),Date(Datetime),Before type,Expansion type,After type,Expn lineage
254,2010.12.23,Thu,-43.199999999999996,14.5,-57.699999999999996,4,1,3,0.25,-10.799999999999999,14.5,-19.23333333333333,14.5,920,2010-12-23,squeeze,range,squeeze,range
255,2010.12.24,Fri,-62.49999999999999,0.0,-62.49999999999999,7,0,7,0.0,-8.928571428571427,0.0,-8.928571428571427,-7.4,928,2010-12-24,squeeze,squeeze,squeeze,range
256,2010.12.27,Mon,78.69999999999999,108.69999999999999,-30.0,4,2,2,0.5,19.674999999999997,54.349999999999994,-15.0,77.8,932,2010-12-27,squeeze,expn range expn,range,expn range
257,2010.12.28,Tue,38.5,61.0,-22.5,2,1,1,0.5,19.25,61.0,-22.5,61.0,934,2010-12-28,range,expansion,squeeze,expansion
258,2010.12.29,Wed,67.2,86.0,-18.8,2,1,1,0.5,33.6,86.0,-18.8,86.0,936,2010-12-29,squeeze,expansion,squeeze,expansion
259,2010.12.30,Thu,36.7,36.7,0.0,1,1,0,1.0,36.7,36.7,0.0,36.7,937,2010-12-30,squeeze,expn range,squeeze,expn range
260,2010.12.31,Fri,100.9,100.9,0.0,2,2,0,1.0,50.45,50.45,0.0,67.0,938,2010-12-31,squeeze,expn inverse expn,range,expn range
261,2011.01.03,Mon,-54.00000000000001,16.4,-70.4,3,1,2,0.3333333333333333,-18.000000000000004,16.4,-35.2,16.4,942,2011-01-03,range,expansion,RanSq,expansion
262,2011.01.04,Tue,-69.80000000000001,38.099999999999994,-107.9,8,2,6,0.25,-8.725000000000001,19.049999999999997,-17.983333333333334,20.7,949,2011-01-04,squeeze,fake inverse expn,trend,expansion
263,2011.01.05,Wed,12.7,12.7,0.0,1,1,0,1.0,12.7,12.7,0.0,12.7,951,2011-01-05,trend,expansion,squeeze,expansion
264,2011.01.06,Thu,2.299999999999997,18.9,-16.6,2,1,1,0.5,1.1499999999999986,18.9,-16.6,18.9,953,2011-01-06,squeeze,fake expasion,squeeze,expansion
265,2011.01.07,Fri,46.4,74.8,-28.4,4,2,2,0.5,11.6,37.4,-14.2,67.3,957,2011-01-07,squeeze,fake expasion,squeeze,expansion
266,2011.01.10,Mon,-67.2,26.3,-93.5,7,1,6,0.14285714285714285,-9.6,26.3,-15.583333333333334,26.3,964,2011-01-10,,,,
267,2011.01.11,Tue,-120.9,10.6,-131.5,12,2,10,0.16666666666666666,-10.075000000000001,5.3,-13.15,5.8,975,2011-01-11,,,,
268,2011.01.12,Wed,48.5,119.2,-70.7,5,1,4,0.2,9.7,119.2,-17.675,119.2,981,2011-01-12,,,,
269,2011.01.13,Thu,212.8,212.8,0.0,1,1,0,1.0,212.8,212.8,0.0,212.8,982,2011-01-13,,,,
270,2011.01.14,Fri,-133.7,0.0,-133.7,6,0,6,0.0,-22.28333333333333,0.0,-22.28333333333333,-19.0,983,2011-01-14,,,,
271,2011.01.17,Mon,56.6,56.6,0.0,2,2,0,1.0,28.3,28.3,0.0,51.1,989,2011-01-17,,,,
272,2011.01.18,Tue,62.00000000000001,90.9,-28.9,2,1,1,0.5,31.000000000000004,90.9,-28.9,90.9,991,2011-01-18,,,,
273,2011.01.19,Wed,-23.0,2.7,-25.7,2,1,1,0.5,-11.5,2.7,-25.7,2.7,993,2011-01-19,,,,
274,2011.01.20,Thu,-86.2,4.0,-90.2,6,1,5,0.16666666666666666,-14.366666666666667,4.0,-18.04,4.0,995,2011-01-20,,,,
275,2011.01.21,Fri,-9.999999999999998,6.9,-16.9,2,1,1,0.5,-4.999999999999999,6.9,-16.9,6.9,1002,2011-01-21,,,,
276,2011.01.24,Mon,-56.8,0.0,-56.8,3,0,3,0.0,-18.933333333333334,0.0,-18.933333333333334,-3.3,1005,2011-01-24,,,,
277,2011.01.25,Tue,-30.200000000000006,36.4,-66.6,5,2,3,0.4,-6.040000000000001,18.2,-22.2,20.7,1007,2011-01-25,,,,
278,2011.01.26,Wed,-208.29999999999998,0.0,-208.29999999999998,17,0,17,0.0,-12.252941176470587,0.0,-12.252941176470587,-5.4,1027,2011-01-26,,,,
279,2011.01.27,Thu,-51.699999999999996,10.6,-62.3,5,1,4,0.2,-10.34,10.6,-15.575,10.6,1030,2011-01-27,,,,
280,2011.01.28,Fri,-37.3,83.3,-120.6,10,1,9,0.1,-3.7299999999999995,83.3,-13.399999999999999,83.3,1042,2011-01-28,,,,
281,2011.01.31,Mon,59.0,59.0,0.0,1,1,0,1.0,59.0,59.0,0.0,59.0,1043,2011-01-31,,,,
282,2011.02.01,Tue,8.399999999999999,8.399999999999999,0.0,3,3,0,1.0,2.7999999999999994,2.7999999999999994,0.0,4.3,1046,2011-02-01,,,,
283,2011.02.02,Wed,-33.599999999999994,11.5,-45.099999999999994,4,1,3,0.25,-8.399999999999999,11.5,-15.033333333333331,11.5,1050,2011-02-02,range,expn range,squeeze,expn range
284,2011.02.03,Thu,122.60000000000001,153.3,-30.7,4,1,3,0.25,30.650000000000002,153.3,-10.233333333333333,153.3,1054,2011-02-03,squeeze,expansion,squeeze,expansion
285,2011.02.04,Fri,-17.000000000000014,39.3,-56.30000000000001,8,1,7,0.125,-2.1250000000000018,39.3,-8.042857142857144,39.3,1062,2011-02-04,squeeze,fake inverse expn range,squeeze,expn range
286,2011.02.07,Mon,-14.3,31.3,-45.6,3,1,2,0.3333333333333333,-4.766666666666667,31.3,-22.8,31.3,1065,2011-02-07,squeeze,expn range,range,expn range
287,2011.02.08,Tue,8.399999999999999,30.9,-22.5,3,2,1,0.6666666666666666,2.7999999999999994,15.45,-22.5,29.9,1066,2011-02-08,range,range,squeeze,range
288,2011.02.09,Wed,-41.50000000000001,19.9,-61.400000000000006,5,1,4,0.2,-8.3,19.9,-15.350000000000001,19.9,1073,2011-02-09,squeeze,expansion,squeeze,expansion
289,2011.02.10,Thu,30.1,39.0,-8.9,2,1,1,0.5,15.05,39.0,-8.9,39.0,1074,2011-02-10,squeeze,expansion,squeeze,expansion
290,2011.02.11,Fri,-1.9000000000000021,17.7,-19.6,2,1,1,0.5,-0.9500000000000011,17.7,-19.6,17.7,1076,2011-02-11,squeeze,range,squeeze,range
291,2011.02.14,Mon,34.400000000000006,61.6,-27.2,3,1,2,0.3333333333333333,11.466666666666669,61.6,-13.6,61.6,1080,2011-02-14,squeeze,expn range,squeeze,expn range
292,2011.02.15,Tue,-71.9,0.3,-72.2,5,1,4,0.2,-14.38,0.3,-18.05,0.3,1082,2011-02-15,squeeze,range,range,range
293,2011.02.16,Wed,17.900000000000002,40.2,-22.3,3,2,1,0.6666666666666666,5.966666666666668,20.1,-22.3,40.1,1088,2011-02-16,range,range,squeeze,range
294,2011.02.17,Thu,-42.599999999999994,11.1,-53.699999999999996,5,1,4,0.2,-8.52,11.1,-13.424999999999999,11.1,1093,2011-02-17,squeeze,range,squeeze,range
295,2011.02.18,Fri,66.10000000000001,94.7,-28.6,4,2,2,0.5,16.525000000000002,47.35,-14.3,75.9,1097,2011-02-18,squeeze,expn inverse expn,squeeze,expn range
296,2011.02.21,Mon,-75.1,0.0,-75.1,7,0,7,0.0,-10.728571428571428,0.0,-10.728571428571428,-7.4,1099,2011-02-21,squeeze,expn range,range,expn range
